Open,High,Low,Close,Volume
3063.309,3068.028,2940.83,2962.667,168076584
2937.926,2968.701,2871.646,2967.011,136231980
2956.129,2982.895,2896.937,2897.553,124074699
2897.808,2924.198,2825.859,2842.721,107626362
2824.583,2886.256,2783.106,2853.554,102541326
2836.699,2864.075,2812.918,2838.842,75167601
2844.37,2857.948,2752.773,2763.525,71874586
2763.764,2779.691,2712.299,2754.54,73565539
2772.569,2803.858,2763.712,2779.426,64833254
2840.131,2912.55,2834.618,2911.715,85546555
2927.021,2932.078,2893.573,2894.483,88186631
2889.788,2937.824,2886.959,2936.191,79997904
2945.669,3010.611,2943.742,2970.532,129630148
2994.89,3014.26,2967.108,2979.788,98617587
2992.745,3008.179,2931.92,2976.633,92222799
2974.644,3039.605,2962.307,3038.273,120615598
3062.551,3084.944,3053.643,3084.454,143651187
3080.52,3105.514,3062.56,3070.589,135482770
3068.678,3080.663,3045.033,3051.412,103031488
3057.387,3123.463,3057.387,3107.847,138600902
3114.294,3123.364,3083.183,3109.566,114826118
3086.091,3086.091,3020.494,3021.459,120886757
3014.182,3038.059,2974.258,3031.329,100973138
2975.199,2993.435,2952.014,2960.466,110282234
3007.25,3027.131,2983.93,2995.848,104792187
2933.817,3077.907,2923.525,3076.649,137286110
3085.744,3121.202,3078.944,3114.227,150552258
3119.313,3141.453,3096.354,3128.537,145370268
3133.505,3158.718,3122.524,3155.053,145465766
3176.137,3183.574,3156.993,3164.037,163490814
3162.146,3176.661,3141.77,3175.585,139189835
3203.171,3211.105,3176.255,3178.61,142448019
3176.311,3186.595,3149.071,3175.192,126821701
3181.457,3199.869,3163.078,3172.945,138033047
3164.65,3189.091,3127.502,3187.647,151147494
3206.428,3275.549,3206.428,3275.048,200378981
3291.044,3298.379,3275.305,3282.889,166037305
3287.265,3315.872,3274.212,3303.234,158663952
3311.188,3329.028,3285.805,3320.612,174619648
3309.376,3332.531,3280.184,3308.346,176074025
3312.974,3339.305,3305.502,3338.663,169531590
3352.22,3361.386,3214.026,3223.526,250211554
3214.815,3291.173,3188.019,3290.165,189026737
3296.014,3305.327,3160.35,3170.98,217978838
3137.297,3169.755,3080.885,3096.265,148802727
3114.29,3195.879,3114.29,3195.301,138860263
3191.058,3240.661,3173.416,3235.363,165279767
3252.979,3278.27,3245.964,3269.752,175051363
3267.995,3270.367,3227.772,3264.628,159219988
3256.614,3319.129,3214.84,3317.044,215945072
3313.06,3334.011,3302.134,3331.897,139876001
3330.326,3330.382,3260.671,3296.664,137065573
3258.003,3284.645,3228.204,3239.568,115095030
3258.354,3276.126,3225.562,3254.264,94306516
3260.448,3280.939,3242.373,3247.318,91542945
3246.951,3315.034,3178.229,3302.904,118243321
3283.598,3303.176,3267.935,3274.46,101484567
3262.862,3299.331,3246.607,3255.213,103873513
3261.608,3272.975,3176.626,3179.078,105646586
3154.815,3169.582,3108.03,3113.886,101866376
3108.067,3123.986,3088.003,3122.973,74568126
3126.615,3129.314,3039.858,3050.52,85080787
3048.199,3078.837,3041.348,3073.777,80058134
3080.874,3156.531,3075.107,3153.41,102406204
3149.226,3154.774,3128.15,3141.353,84545783
3148.86,3202.087,3148.86,3188.785,91211608
3190.172,3212.516,3166.758,3211.761,102612637
3211.828,3267.001,3206.217,3262.6,129456039
3264.998,3282.211,3250.026,3277.139,116520402
3289.75,3295.279,3243.319,3243.76,109447927
3254.468,3290.512,3221.462,3282.179,126115066
3277.517,3295.868,3253.044,3254.215,123651384
3253.991,3268.819,3176.707,3192.776,128652827
3177.259,3198.92,3149.017,3195.997,98377147
3301.611,3306.751,3197.328,3212.75,136327216
3205.705,3275.202,3180.085,3273.966,140655241
3204.976,3232.818,3165.485,3172.658,158344278
3183.381,3219.016,3165.596,3215.55,135954504
3217.19,3241.815,3197.221,3224.152,120541135
3213.637,3238.242,3202.207,3237.098,135067238
3242.216,3268.806,3236.839,3246.874,129943532
3252.037,3255.128,3148.334,3151.85,158243112
3154.189,3176.147,3126.902,3158.863,114337079
3118.724,3147.829,3062.629,3128.588,137758538
